Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1112091,429175,431904,2,01-Jan-14,1840,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Male,58,Car
1180869,430429,431025,3,08-Jan-14,1430,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,69,Car
1180869,430429,431025,3,08-Jan-14,1430,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,41,Car
11A0238,424660,427582,3,10-Jan-14,817,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,35,Car
11A0238,424660,427582,3,10-Jan-14,817,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,25,Car
11A0628,432917,425961,2,10-Jan-14,1220,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,20,Car
11S1208,432248,427099,3,28-Jan-14,1828,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Male,38,Car
1211556,426513,435659,1,01-Aug-14,2000,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,23,Car
1221002,424112,428080,1,02-Feb-14,1531,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,28,Car
1270266,430391,430939,4,07-Feb-14,824,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,23,Car
1270266,430391,430939,4,07-Feb-14,824,Motorway,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,53,Car
12F1262,433137,433635,2,25-Feb-14,1800,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Male,34,Pedal cycle
12H1186,426045,427745,1,17-Feb-14,1728,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,3,Pedestrian,Slight,Male,17,Car
12H1210,429147,431787,2,17-Feb-14,1735,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,3,Bus or coach (17 or more passenger seats)
12H1381,425059,433376,2,17-Feb-14,1905,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,2,Passenger,Slight,Female,56,Car
12I0039,430708,439230,1,18-Feb-14,46,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,26,Car
12I0740,432436,434843,2,18-Feb-14,1320,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,33,Pedal cycle
12I0834,430306,434778,1,18-Feb-14,1422,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,38,Car
12I1006,431896,434915,2,18-Feb-14,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,19,Car
12I1006,431896,434915,2,18-Feb-14,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,56,Car
12I1006,431896,434915,2,18-Feb-14,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,41,Car
12I1203,428282,433512,2,18-Feb-14,1720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,42,Pedal cycle
12I1281,425763,435423,1,18-Feb-14,1802,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Female,23,Car
12I1450,429387,434948,2,18-Feb-14,1944,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,25,Pedal cycle
12I1578,424145,430427,2,18-Feb-14,2052,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,21,Motorcycle over 50cc and up to 125cc
12I1769,428836,440130,2,18-Feb-14,2318,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,16,Motorcycle over 50cc and up to 125cc
12J0189,426677,431760,2,19-Feb-14,655,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,23,Pedal cycle
12J0433,429092,429970,2,19-Feb-14,1028,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,38,Motorcycle over 125cc and up to 500cc
12J0994,429475,439388,2,19-Feb-14,1550,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,11,Car
12J1142,426308,437694,1,19-Feb-14,1639,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,68,Car
