Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
21G0539,427798,426248,5,16-Jan-15,1205,A,Snow,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Male,36,Goods vehicle 3.5 tonnes mgw and under
21G0539,427798,426248,5,16-Jan-15,1205,A,Snow,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,27,Goods vehicle 3.5 tonnes mgw and under
21G1108,431142,430087,1,16-Jan-15,1732,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,68,Car
21H0565,434602,436699,2,17-Jan-15,930,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,49,Car
21H0638,434254,434318,2,17-Jan-15,1315,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,33,Car
21H0638,434254,434318,2,17-Jan-15,1315,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Car
21I0242,427328,435078,2,18-Jan-15,1645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,17,Motorcycle over 50cc and up to 125cc
21I0756,427322,431991,2,18-Jan-15,1421,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,18,Car
21I0756,427322,431991,2,18-Jan-15,1421,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,8,Car
21I1028,423369,433968,1,18-Jan-15,1749,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,73,Bus or coach (17 or more passenger seats)
21J0605,434543,436492,2,19-Jan-15,1325,Unclassified,Frost / Ice,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,18,Motorcycle over 125cc and up to 500cc
21J0614,430517,435180,2,20-Jan-15,830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,50,Car
21K0209,432549,427863,2,20-Jan-15,800,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Pedal cycle
