Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6,Type of Vehicle 7,Casualty Class 7,Casualty Severity 7,Sex of Casualty 7,Age of Casualty 7
6140231,398364,418232,1,43469,701,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Driver or rider,Serious,Male,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6142035,407438,426457,1,43469,2308,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,36,,Vehicle or pillion passenger,Serious,Male,26,,Vehicle or pillion passenger,Serious,Male,20,,,,,,,,,,,,,,,,,,,,
6170291,409015,425004,1,43472,838,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Pedestrian,Slight,Male,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6180214,409646,422315,2,43473,705,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,53,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
6191021,407754,428825,1,43474,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61A0879,408793,425456,2,43475,1424,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Bus or coach (17 or more passenger seats),Vehicle or pillion passenger,Slight,Female,64,Car,Vehicle or pillion passenger,Slight,Female,42,,,,,,,,,,,,,,,,,,,,,,,,,
61B0200,412455,425779,2,43476,550,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,47,Motorcycle over 50cc and up to 125cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
61B0239,411295,422179,5,43476,700,A,Dry,Darkness: street lights present and lit,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Male,51,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,
61B0317,414107,424986,1,43476,826,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61C0968,399298,428044,2,43477,1445,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,43,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
61D1303,398423,414772,4,43478,1735,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Car,Vehicle or pillion passenger,Slight,Female,47,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,
61D1457,416483,422141,2,43478,1905,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,33,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
61F1116,403161,416145,1,43480,1530,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61F1443,408010,426215,2,43480,1807,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,40,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,52,,,,,,,,,,,,,,,,,,,,,,,,,
61G1372,401594,426001,1,43466,1630,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Pedestrian,Serious,Female,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61K0563,408211,424474,2,43485,1026,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,20,Car,Vehicle or pillion passenger,Slight,Female,35,,Driver or rider,Slight,Male,68,,Vehicle or pillion passenger,Slight,Female,50,,,,,,,,,,,,,,,
61K0615,408935,426594,3,43485,1100,A,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,64,Car,not known,not known,not known,not known,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
61K0776,409148,425579,1,43485,230,A,Dry,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Female,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61K1702,411426,420851,3,43485,2125,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Car,Driver or rider,Serious,Male,28,Car,Vehicle or pillion passenger,Serious,Male,19,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,26,,,,,,,,,,,,,,,,,,,,
61L0705,411885,427790,2,43486,1733,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,32,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
61L1354,407978,424009,2,43486,1757,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Car,Driver or rider,Serious,Male,25,Motorcycle over 50cc and up to 125cc,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,,,,,,
61N1476,406969,426086,1,43488,1912,Unclassified,Frost / Ice,Darkness: street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
